,id,uuid,record,associaties_Categorie2,Opgeschoond,associaties_positief_Categorie2,associaties_relevant_Categorie2
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,442,xtvgd5ytjfrnafvm,1871,,,#NULL!,#NULL!
,442,xtvgd5ytjfrnafvm,1871,,,#NULL!,#NULL!
,442,xtvgd5ytjfrnafvm,1871,,,#NULL!,#NULL!
,442,xtvgd5ytjfrnafvm,1871,,,#NULL!,#NULL!
,442,xtvgd5ytjfrnafvm,1871,,,#NULL!,#NULL!
,442,xtvgd5ytjfrnafvm,1871,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,443,sy8fesgr0yt7w66v,1876,,,#NULL!,#NULL!
,444,69tcwb8r38z5scq4,1878,,,#NULL!,#NULL!
,444,69tcwb8r38z5scq4,1878,,,#NULL!,#NULL!
,444,69tcwb8r38z5scq4,1878,,,#NULL!,#NULL!
,444,69tcwb8r38z5scq4,1878,,,#NULL!,#NULL!
,445,r3gy4uwv18ba23v3,1879,,,#NULL!,#NULL!
,445,r3gy4uwv18ba23v3,1879,,,#NULL!,#NULL!
