Associaties;Positief/negatief;Relevant/niet relevant;Socdemo;Missie;Kopen Energiedrank;Drinken energiedrank;Kopen Red Bull;;;Positief/negatief;Relevant/niet relevant
Zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Take with;Nooit;Minder dan 1x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;3-4x per jaar;3-4x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1x per week;1x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1x per week;1x per week;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;1-2x per jaar;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Minder dan 1x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;2-3x per maand;2-6x per week;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Minder dan 1x per jaar;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;1x per week;1x per week;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;1-2x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Take with;1x per week;2-6x per week;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;2-3x per maand;2-3x per maand;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;3-4x per jaar;5-11x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Minder dan 1x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;1x per maand;1x per maand;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zo..lekker;Positief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Fill up;Meer dan 1x per dag;Meer dan 1x per dag;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Zie er de noodzaak niet van in;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zere buik;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zal ik nooit kopen voor mezelf;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
xchadelijk voor de gezondheid;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Wordt er hyper van;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
wodka redbull;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Wodka;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
werkt niet voor mij;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
werkt niet bij mij;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Werkt niet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
werkt maar even;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
werken;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Minder dan 1x per jaar;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
wel lekker soms;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Wel energie;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Wekt bij mij persoonlijk niet veel energie op;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Weet niet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
weet niet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
weet niet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
weet niet;Positief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Take with;Nooit;Nooit;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
weet niet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
weet ik niet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
weer wakker;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;On the go;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
water;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
wakker worden;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;2-3x per maand;1x per dag;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Wakker blijven;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;1-2x per jaar;3-4x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Wakker blijven;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
wakker blijven;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
wakker blijven;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Nooit;5-11x per jaar;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
wakker blijven;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
wakker blijven;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;5-11x per jaar;3-4x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
wakker blijven;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
vrolijk;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
vreselijk veel suiker;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
vreselijk spul;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
vreselijk;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
vooral marketing;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
vooral als ik moe ben en nog een poosje moet;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Voor sporters;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
voor sporters;Positief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
